stage,model,checkpoint,checkpoint_digest,parent_checkpoint,parent_checkpoint_digest,checkout_commit,cpu_handoff_digest,resolved_config_sha256,seed,cost_lambda,em,search_count,no_search_ratio,utility,elapsed_seconds,gpu_hours,actual_rmb
A,base,/root/autodl-tmp/search-r1/models/Qwen3.5-2B,bc67be20efb353ba14d9c1b291a64410afec94f2310e94b59b6b76047b164e78,,,,,,,,0.039062,1.28125,0.226562,0.007031,0,0.0,0.0
R,reproduced,/root/autodl-tmp/search-r1/runs/reproduce/attempts/20260720T065037Z-1472-27656/checkpoints/actor/global_step_60,52b1ab055b62cf1cbc6c9699dc5dba640c60b0a552671f73f5dccc945de66739,/root/autodl-tmp/search-r1/models/Qwen3.5-2B,bc67be20efb353ba14d9c1b291a64410afec94f2310e94b59b6b76047b164e78,345ad0d260f09fbe81dbd4626e7744c42b1ee273,6cba4e57ca4375fdf4199f10845e5c9df41b2ad5d2f65d3916066bb84f3d2b5b,40853fd73956be3e9fdf6be9973b7cf9f2d2faa655bcde7f951f4911531dc8e6,42,0.0,0.164062,1.304688,0.0,0.131445,22510,12.505555555555556,36.016
B,control,/root/autodl-tmp/search-r1/runs/control/attempts/20260720T130625Z-1472-2335/checkpoints/actor/global_step_20,bb55a4d814a0730aa08701d84169f907ba595f1374a8b30ca825e4df3f8b633b,/root/autodl-tmp/search-r1/runs/reproduce/attempts/20260720T065037Z-1472-27656/checkpoints/actor/global_step_60,52b1ab055b62cf1cbc6c9699dc5dba640c60b0a552671f73f5dccc945de66739,345ad0d260f09fbe81dbd4626e7744c42b1ee273,6cba4e57ca4375fdf4199f10845e5c9df41b2ad5d2f65d3916066bb84f3d2b5b,3ae5d0e5d7b3241b7da6482e8c933f5689a6615fd6b937c8e63e5bf4d9a93749,42,0.0,0.179688,1.023438,0.0,0.154102,7487,4.1594444444444445,11.979199999999999
C,cost_aware,/root/autodl-tmp/search-r1/runs/cost_aware/attempts/20260720T151148Z-1472-18456/checkpoints/actor/global_step_20,a683e4176c4a7a7f3568a2c42b350f7b2b5f9bd8ae2cbe68cb3a74318026ddea,/root/autodl-tmp/search-r1/runs/reproduce/attempts/20260720T065037Z-1472-27656/checkpoints/actor/global_step_60,52b1ab055b62cf1cbc6c9699dc5dba640c60b0a552671f73f5dccc945de66739,345ad0d260f09fbe81dbd4626e7744c42b1ee273,6cba4e57ca4375fdf4199f10845e5c9df41b2ad5d2f65d3916066bb84f3d2b5b,8492016102a03e8a726a84abaee82a76ddcd013d8c0a5138432fe8109430c22d,42,0.1,0.070312,0.03125,0.984375,0.069531,5189,2.8827777777777777,8.3024
