stage	role	run_dir	checkpoint	checkpoint_digest	parent_checkpoint	parent_checkpoint_digest	checkout_commit	cpu_handoff_digest	data_manifest_sha256	resolved_config_sha256	trace_sha256	trace_manifest_sha256	run_contract_sha256	predecessor_evidence_sha256
B20-REUSED	control	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937/checkpoints/actor/global_step_20	8df3d6ab13e154b4a2360b1535f763731f955baebba21b75f9f6e017000ad6d2	/root/autodl-tmp/search-r1/runs/reproduce/attempts/20260728T092332Z-2946-8453/checkpoints/actor/global_step_60	583771b131b6e2aa663ee2ef13ea6421524cdd7fed839f35fd6f9eb246a2c231	f8c1cd7e87078d07385f74ca8710add5d5f79c06	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	ea52724698d2b058c30523b16292aec88b8307550372fb277234b98d0ab366ea	b1907e579ecece4fe4c102d229cc3103b8ee71348bbd8c162bfe320a04a51cf5	ce72545ead4e49da9eb044467950be293e4d51635f303f3b9445efa4ccb29837	a3720c240e9f17848f0bd97cb056a3e1f684a3242094a6f8096dbb1e4accd835	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
C20-RECOVERY	cost_aware_gated	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197/checkpoints/actor/global_step_20	106b628945cdb46ea1053fa042e7e75fb26608e15e83ffce65dd799b96fa4b2e	/root/autodl-tmp/search-r1/runs/reproduce/attempts/20260728T092332Z-2946-8453/checkpoints/actor/global_step_60	583771b131b6e2aa663ee2ef13ea6421524cdd7fed839f35fd6f9eb246a2c231	ffda96014d67f37751565203931940856a5c5bd8	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	0b82db9eeae589d8c517226cc59c48852cd524d1f3d328e4d22d2d245e0497d4	d90ce241826c4e0158d22802ac3abf7b864905444e54a3810417685e3db637e9	98d66250f0aad484d2bae7127c9a1a6d52b77ea704e39cc102fcf339e7fe049d	40854644d7903be4f5620b618642665d3598b37f79bf3a223dd453a72b7cf27e	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
B-VAL-EVAL	control_val_eval	/root/autodl-tmp/search-r1/runs/eval/qwen_native_b_val/attempts/20260801T074616Z-7061-9546	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937/checkpoints/actor/global_step_20	8df3d6ab13e154b4a2360b1535f763731f955baebba21b75f9f6e017000ad6d2	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937/checkpoints/actor/global_step_20	8df3d6ab13e154b4a2360b1535f763731f955baebba21b75f9f6e017000ad6d2	f8c1cd7e87078d07385f74ca8710add5d5f79c06	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	286cbe9bd59f19dc29e19ab58c40b0e8df7713f316a0d1fc37813b432cc59fc1	bb28c1e99c8c0d7bc834b1e3c1834de61dc1cf0dfbaa6082b42c420b20b9808c	ce0f86a3b8ad3c2266f27d842e0f994df32a394d922bd163198314ed59713d64	-	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
C-VAL-EVAL	cost_aware_gated_val_eval	/root/autodl-tmp/search-r1/runs/eval/qwen_native_c_val/attempts/20260801T081048Z-7061-3750	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197/checkpoints/actor/global_step_20	106b628945cdb46ea1053fa042e7e75fb26608e15e83ffce65dd799b96fa4b2e	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197/checkpoints/actor/global_step_20	106b628945cdb46ea1053fa042e7e75fb26608e15e83ffce65dd799b96fa4b2e	f8c1cd7e87078d07385f74ca8710add5d5f79c06	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	97732597ca46384e38220e86c990706aa63f460293ca285875a1b880bd2a680f	8128ef87bed41e4736cfd8803753150748e60ea904b2057c1e84c01e9904dd1d	234f516bc8e0157863dbb2798779c1a090eb04ee9bb6d03af6c1a1b8cd48411c	-	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
B-NQ-TEST-EVAL	control_nq_test_eval	/root/autodl-tmp/search-r1/runs/eval/qwen_native_b_nq_test/attempts/20260801T083243Z-7061-15480	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937/checkpoints/actor/global_step_20	8df3d6ab13e154b4a2360b1535f763731f955baebba21b75f9f6e017000ad6d2	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937/checkpoints/actor/global_step_20	8df3d6ab13e154b4a2360b1535f763731f955baebba21b75f9f6e017000ad6d2	f8c1cd7e87078d07385f74ca8710add5d5f79c06	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	e1bc8aa580347e92fe28112d42b07adb4d497a46b03fb1b6b403ec1c6bc411cb	ebb530d0696805bd00b44e53c5501b6d1dcb0a32054f04f392f4f6c05382947e	a693250b0780ac7271cd05ac6c412512cfeeb35da589fe6ebc5da7fa651b318f	-	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
C-NQ-TEST-EVAL	cost_aware_gated_nq_test_eval	/root/autodl-tmp/search-r1/runs/eval/qwen_native_c_nq_test/attempts/20260801T085622Z-7061-20584	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197/checkpoints/actor/global_step_20	106b628945cdb46ea1053fa042e7e75fb26608e15e83ffce65dd799b96fa4b2e	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197/checkpoints/actor/global_step_20	106b628945cdb46ea1053fa042e7e75fb26608e15e83ffce65dd799b96fa4b2e	f8c1cd7e87078d07385f74ca8710add5d5f79c06	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	46cda727dd28671daa72758448fa17a8ed755038f09288b5f38eb426cce9d8d3	7949908b1738fe678400fd7c8e4189f40d8aa99fb98ea7f02a1ae5cfa76b2f3e	033adf9c0c315f173d00c79dc215020de88b491fadd9b77063b5abded6468f34	-	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
B-MULTIHOP-EVAL	control_multihop_eval	/root/autodl-tmp/search-r1/runs/eval/qwen_native_b_multihop/attempts/20260801T092107Z-7061-32369	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937/checkpoints/actor/global_step_20	8df3d6ab13e154b4a2360b1535f763731f955baebba21b75f9f6e017000ad6d2	/root/autodl-tmp/search-r1/runs/control/attempts/20260731T061302Z-1592-7937/checkpoints/actor/global_step_20	8df3d6ab13e154b4a2360b1535f763731f955baebba21b75f9f6e017000ad6d2	f8c1cd7e87078d07385f74ca8710add5d5f79c06	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	3b63675eee0018d5a318c81d67d6c86f4e2212364c163c6b7d1de2ffd9da286a	51984ac1a122f2998eea5efdd8ee8f42fdc13cfc470b83899417ff2ca04b6e9d	5c31f6fa6f1933dce25e855c1dced257c2b13a32bd25e0f4858f48e5dced0c92	-	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
C-MULTIHOP-EVAL	cost_aware_gated_multihop_eval	/root/autodl-tmp/search-r1/runs/eval/qwen_native_c_multihop/attempts/20260801T101457Z-7061-32065	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197/checkpoints/actor/global_step_20	106b628945cdb46ea1053fa042e7e75fb26608e15e83ffce65dd799b96fa4b2e	/root/autodl-tmp/search-r1/runs/cost_aware_gated/attempts/20260801T042516Z-7061-17197/checkpoints/actor/global_step_20	106b628945cdb46ea1053fa042e7e75fb26608e15e83ffce65dd799b96fa4b2e	f8c1cd7e87078d07385f74ca8710add5d5f79c06	9ffaa89f88990887b368750ccfdc559d93afdb9a1f5719411cf3e3c1147da90b	db6cacf865365ee977fc280d5195556e9903907b28b228ba8f3d72133d674167	71806fa8191e04ffd2faef73832a081d2a238b882a0e0bd6faf4fc213383280d	f04a8a159cc0ef64a8f187c7e921ec1e6064d9860ab6b0a6fbd8a71acacf0ca9	73a00bc2d6473aa5d0b0c7471c5923b2154ed4b0d5f9ab752ddb4284852ebbdf	-	2366ce2da28b530f12af30a22d3dc3e2bd33fedbfcb3a2bed5acdd9d0537ffed
